Name	Size	Type	Subtype	Alignment	Armor Class	Initiative	Hit Points	Hit Dice	Speed	Fly	Strength	Strength Saving Throw	Dexterity	Dexterity Saving Throw	Constitution	Constitution Saving Throw	Intelligence	Intelligence Saving Throw	Wisdom	Wisdom Saving Throw	Charisma	Charisma Saving Throw	Resistances	Immunities	Passive Perception	Darkvision	Languages	Challenge Rating	Description	Image
Hydra	Huge	Monstrosity		Unaligned	15	4	184	16d12 + 80	40	0	20	5	12	1	20	5	2	-4	10	0	7	-2		Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious	16	60	None	8	# Traits\n**Hold Breath**\nThe hydra can hold its breath for 1 hour.\n\n**Multiple Heads**\nThe hydra has fie heads. heneer\nthe hydra takes 25 damage or more on a single turn,\n\n**one of its heads dies**\nThe hydra dies if all its heads are\n\n**dead**\nAt the end of each of its turns when it has at least\none living head, the hydra grows two heads for each of\nits heads that died since its last turn, unless it has taken\n\n**Fire damage since its last turn**\nThe hydra regains 20 Hit\n\n**Reactive Heads**\nFor each head the hydra has beyond\none, it gets an extra Reaction that can be used only for\n\n# Actions\n**Multiattack**\nThe hydra makes as many Bite attacks as it\n\n**Bite**\nMelee Attack Roll: +8, reach 10 ft. Hit: 10 (1d10\n+ 5) Piercing damage.	
Ice Devil	Large	Fiend	Devil	Lawful Evil	18	7	228	24d10 + 96	40	0	21	5	14	7	18	9	18	4	15	7	18	9		Cold, Fire, Poison, Poisoned	17	0	Infernal	14	# Traits\n**Diabolical Restoration**\nIf the devil dies outside the\nNine Hells, its body disappears in sulfurous smoke, and\nit gains a new body instantly, reviving with all its Hit\n\n**Magic Resistance**\nThe devil has Advantage on saving\n\n# Actions\n**Multiattack**\nThe devil makes three Ice Spear attacks. It\n\n**Ice Spear**\nMelee or Ranged Attack Roll: +10, reach 5\n\n**ft**\nor range 30/120 ft. Hit: 14 (2d8 + 5) Piercing damage\nplus 10 (3d6) Cold damage. Until the end of its next\nturn, the target can’t take a Bonus Action or Reaction,\nits Speed decreases by 10 feet, and it can move or take\none action on its turn, not both. Hit or Miss: The spear\nmagically returns to the devil’s hand immediately after a\n\n**Tail**\nMelee Attack Roll: +10, reach 10 ft. Hit: 15 (3d6\n+ 5) Bludgeoning damage plus 18 (4d8) Cold damage.\nIce Wall (Recharge 6). The devil casts Wall of Ice (level\n8 version), requiring no spell components and using In-\ntelligence as the spellcasting ability (spell save DC 17).	
Ice Mephit	Small	Elemental		Neutral Evil	11	1	21	6d6	30	30	7	-2	13	1	10	0	9	-1	11	0	12	1		Cold, Poison, ExExhaustion, Poisoned	12	60	Primordial (Aquan, Auran)	1/2	# Traits\n**Death Burst**\nThe mephit explodes when it dies. Consti-\ntution Saving Throw: DC 10, each creature in a 5-foot\n\n**Emanation originating from the mephit**\nFailure: 5 (2d4)\n\n**Cold damage**\nSuccess: Half damage.\n\n# Actions\n**Claw**\nMelee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1)\nSlashing damage plus 2 (1d4) Cold damage.\nFog Cloud (1/Day). The mephit casts Fog Cloud , re-\nquiring no spell components and using Charisma as the\n\n**spellcasting ability**\nFrost Breath (Recharge 6). Constitution Saving Throw:\nDC 10, each creature in a 15-foot Cone. Failure: 7 (3d4)\n\n**Cold damage**\nSuccess: Half damage.	
Imp	Tiny	Fiend	Devil	Lawful Evil	13	3	21	6d4 + 6	0	0	6	-2	17	3	13	1	11	0	12	1	14	2	Cold, Darkness	Fire, Poison, Poisoned	11	120	Common, Infernal	1	# Traits\n**Magic Resistance**\nThe imp has Advantage on saving\n\n# Actions\n**Sting**\nMelee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3)\nPiercing damage plus 7 (2d6) Poison damage.\n\n**Invisibility**\nThe imp casts Invisibility on itself, requiring\nno spell components and using Charisma as the spell-\n\n**Shape-Shift**\nThe imp shape-shifts to resemble a rat\n(Speed 20 ft.), a raven (20 ft., Fly 60 ft.), or a spider\n(20 ft., Climb 20 ft.), or it returns to its true form. Its\ngame statistics are the same in each form, except for\n\n**its Speed**\nAny equipment it is wearing or carrying isn’t	
Incubus	Medium	Fiend		Neutral Evil	15	3	66	12d8 + 12	30	60	8	-1	17	3	13	1	15	2	12	1	20	5	Cold, Fire, Poison, Psychic		15	60	Abyssal, Common, Infernal	4	# Traits\n**Succubus Form**\nhen the incubus finishes a Long\nRest, it can shape-shift into a Succubus , using that stat\n\n**block instead of this one**\nAny equipment it is wearing\n\n# Actions\n**Multiattack**\nThe incubus makes two Restless\n\n# Bonus Actions\nNightmare (Recharge 6). Wisdom Saving Throw: DC\n15, one creature the incubus can see within 60 feet.\nFailure: If the target has 20 Hit Points or fewer, it has\nthe Unconscious condition for 1 hour, until it takes\ndamage, or until a creature within 5 feet of it takes an\n**action to wake it**\nOtherwise, the target takes 18 (4d8)	
Invisible Stalker	Large	Elemental		Neutral	14	7	97	13d10 + 26	50	50	16	3	11	0	14	4	11	0	11	2	15	2	Bludgeoning, Piercing, Slashing Petrified, Poisoned, Prone, Restrained, nconscious	Poison, ExExhaustion, Grappled, Paralyzed	18	60	Common, Primordial (Auran)	6	# Traits\n**Air Form**\nThe stalker can enter an enemy’s space and\n\n**stop there**\nIt can move through a space as narrow as 1\n\n**Invisibility**\nThe stalker has the Invisible condition.\n\n# Actions\n**Multiattack**\nThe stalker makes three Wind Swipe at-\n\n**tacks**\nIt can replace one attack with a use of Vortex.\n\n**Wind Swipe**\nMelee Attack Roll: +7, reach 5 ft. Hit: 11\n(2d6 + 4) Force damage.\n\n**Vortex**\nConstitution Saving Throw: DC 14, one Large\n\n**or smaller creature in the stalker’s space**\nFailure: 7 (1d8\n+ 3) Thunder damage, and the target has the Grappled\ncondition (escape DC 13). Until the grapple ends, the\ntarget can’t cast spells with a Verbal component and takes 7 (2d6) Thunder damage at the start of each of the	
Iron Golem	Large	Construct		Unaligned	20	9	252	24d10 + 120	30	0	24	7	9	-1	20	5	3	-4	11	0	1	-5	Frightened	Fire, Poison, Psychic, Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned	10	0	Common plus one other language	3	# Actions\n# Traits\n**Multiattack**\nThe knight makes two attacks, using\n\n**Greatsword**\nMelee Attack Roll: +5, reach 5 ft. Hit: 10\n(2d6 + 3) Slashing damage plus 4 (1d8) Radiant damage.\n\n**Heavy Crossbow**\nRanged Attack Roll: +2, range\n100/400 ft. Hit: 11 (2d10) Piercing damage plus 4 (1d8)\n\n# Reactions\n**Fire Absorption**\nWhenever the golem is subjected to\nFire damage, it regains a number of Hit Points equal to\n\n**Immutable Form**\nThe golem can’t shape-shift.\n\n**Magic Resistance**\nThe golem has Advantage on saving\n\n# Actions\n**Parry**\nTrigger: The knight is hit by a melee attack roll\n\n**while holding a weapon**\nResponse: The knight adds 2\nto its AC against that attack, possibly causing it to miss.	
Knight	Medium, Small	Humanoid		Neutral	18	0	52	8d8 + 16	30	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0			# Actions\n**Dagger**\nMelee or Ranged Attack Roll: +4, reach 5 ft. or\nrange 20/60 ft. Hit: 4 (1d4 + 2) Piercing damage.	
Kobold Warrior	Small	Dragon		Neutral	14	2	3	3d6 3	30	0	7	-2	15	2	9	-1	8	-1	7	-2	8	-1			8	60	Common, Draconic	1/8	# Traits	
Kraken	Gargantuan	Monstrosity	Titan	Chaotic Evil	18	14	481	26d20 + 208	30	0	30	17	11	7	26	15	22	6	18	11	20	5		Cold, Lightning, Frightened, Grappled, Paralyzed, Restrained	21	0	Abyssal, Celestial, Infernal, Primordial	23	# Traits\n**Amphibious**\nThe kraken can breathe air and water.\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe kraken fails a saving throw, it can choose to suc-\n\n**Siege Monster**\nThe kraken deals double damage to ob-\n\n# Actions\n**Multiattack**\nThe kraken makes two Tentacle attacks\nand uses Fling, Lightning Strike, or Swallow.\n\n**Tentacle**\nMelee Attack Roll: +17, reach 30 ft. Hit: 24\n(4d6 + 10) Bludgeoning damage. The target has the\nGrappled condition (escape DC 20) from one of ten\ntentacles, and it has the Restrained condition until the\n\n**Fling**\nThe kraken throws a Large or smaller creature\nGrappled by it to a space it can see within 60 feet of\n\n**itself that isn’t in the air**\nDexterity Saving Throw: DC\n25, the creature thrown and each creature in the des-\n\n**tination space**\nFailure: 18 (4d8) Bludgeoning damage,\n\n**and the target has the Prone condition**\nSuccess: Half\n\n**Lightning Strike**\nDexterity Saving Throw: DC 23, one\n\n**creature the kraken can see within 120 feet**\nFailure: 33\n(6d10) Lightning damage. Success: Half damage.\n\n**Swallow**\nDexterity Saving Throw: DC 25, one creature\nGrappled by the kraken (it can have up to four crea-\ntures swallowed at a time). Failure: 23 (3d8 + 10) Pierc-\n\n**ing damage**\nIf the target is Large or smaller, it is swal-\n\n**lowed and no longer Grappled**\nA swallowed creature\nhas the Restrained condition, has Total Cover against\nattacks and other effects outside the kraken, and takes\n24 (7d6) Acid damage at the start of each of its turns.\nIf the kraken takes 50 damage or more on a single\n\n# Legendary Actions	
Lamia	Large	Fiend		Chaotic Evil	13	1	97	13d10 + 26	40	0	16	3	13	1	15	2	14	2	15	2	16	3			12	60	Abyssal, Common	4	# Actions\n**Multiattack**\nThe lamia makes two Claw attacks. It can\n\n**Claw**\nMelee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3)\nSlashing damage plus 7 (2d6) Psychic damage.\n\n**Corrupting Touch**\nWisdom Saving Throw: DC 13, one\n\n**creature the lamia can see within 5 feet**\nFailure: 13\n(3d8) Psychic damage, and the target is cursed for 1\n\n**hour**\nUntil the curse ends, the target has the Charmed\n\n**Spellcasting**\nThe lamia casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 13):\nAt Will: Disguise Self (can appear as a Large or Medium\nbiped), Minor Illusion\n1/Day Each: Geas , Major Image , Scrying Bonus Actions\n\n**Leap**\nThe lamia jumps up to 30 feet by spending 10	
Lemure	Medium	Fiend	Devil	Lawful Evil	9	3	9	2d8	20	0	10	0	5	-3	11	0	1	-5	11	0	3	-4	Cold, Darkness	Fire, Poison, Charmed, Frightened, Poisoned	10	120	Understands Infernal but can’t speak	0	# Traits\n**Hellish Restoration**\nIf the lemure dies in the Nine\nHells, it revives with all its Hit Points in 1d10 days un-\nless it is killed by a creature under the effects of a Bless\n\n# Actions\n**Vile Slime**\nMelee Attack Roll: +2, reach 5 ft. Hit: 2\n(1d4) Poison damage.	
Lich	Medium	Undead	Wizard	Neutral Evil	20	17	315	42d8 + 126	30	0	11	0	16	10	16	10	21	12	14	9	16	3	Cold, Lightning Frightened, Paralyzed, Poisoned	Necrotic, Poison, Charmed, Exhaustion	19	0	All	21	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe lich fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe lich makes three attacks, using El-\n\n**Eldritch Burst**\nMelee or Ranged Attack Roll: +12, reach\n\n**5 ft**\nor range 120 ft. Hit: 31 (4d12 + 5) Force damage.\n\n**Paralyzing Touch**\nMelee Attack Roll: +12, reach 5\n\n**ft**\nHit: 15 (3d6 + 5) Cold damage, and the target has\nthe Paralyzed condition until the start of the lich’s\n\n**Spellcasting**\nThe lich casts one of the following spells,\nusing Intelligence as the spellcasting ability (spell\nsave DC 20):\nAt Will: Detect Magic , Detect Thoughts , Dispel Magic ,\nFireball (level 5 version), Invisibility , Lightning Bolt\n(level 5 version), Mage Hand , Prestidigitation\n2/Day Each: Animate Dead , Dimension Door ,\nPlane Shift\n1/Day Each: Chain Lightning , Finger of Death , Power\nWord Kill , Scrying\n\n# Reactions\n**Protective Magic**\nThe lich casts Counterspell or Shield\nin response to the spell’s trigger, using the same spell-\n\n# Legendary Actions	
Mage	Medium, Small	Humanoid	Wizard	Neutral	15	2	81	18d8	30	0	9	-1	14	2	11	0	17	6	12	4	11	0			14	0	Common plus three other languages	6	# Actions\n**Multiattack**\nThe mage makes three Arcane\n\n**Arcane Burst**\nMelee or Ranged Attack Roll: +6, reach\n\n**5 ft**\nor range 120 ft. Hit: 16 (3d8 + 3) Force damage.\n\n**Spellcasting**\nThe mage casts one of the following\nspells, using Intelligence as the spellcasting ability (spell\nsave DC 14):\nAt Will: Detect Magic , Light , Mage Armor (included in\nAC), Mage Hand , Prestidigitation\n2/Day Each: Fireball (level 4 version), Invisibility\n1/Day Each: Cone of Cold , Fly\n\n# Bonus Actions\nMisty Step (3/Day). The mage casts Misty Step , using\n# Reactions\nProtective Magic (3/Day). The mage casts Counterspell\nor Shield in response to the spell’s trigger, using the	
Magma Mephit	Small	Elemental		Neutral Evil	11	1	18	4d6 + 4	30	30	5	-3	11	0	10	0	11	0	10	0	12	1	Fire, Poison, Exhaustion, Poisoned	Fire, Poison, Exhaustion, Poisoned	10	60	Primordial (Ignan, Terran)	1/2	# Traits\n**Death Burst**\nThe mephit explodes when it dies. Dex-\nterity Saving Throw: DC 11, each creature in a 5-foot\n\n**Emanation originating from the mephit**\nFailure: 7 (2d6)\n\n**Fire damage**\nSuccess: Half damage.\n\n# Actions\n**Claw**\nMelee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1)\nSlashing damage plus 3 (1d6) Fire damage.\nFire Breath (Recharge 6). Dexterity Saving Throw: DC\n11, each creature in a 15-foot Cone. Failure: 7 (2d6) Fire\n\n**damage**\nSuccess: Half damage. Steam Mephit\n\n# Traits\n**Blurred Form**\nAttack rolls against the mephit are made\nwith Disadvantage unless the mephit has the Incapaci-\n\n**Death Burst**\nThe mephit explodes when it dies. Dex-\nterity Saving Throw: DC 10, each creature in a 5-foot\n\n**Emanation originating from the mephit**\nFailure: 5 (2d4)\n\n**Fire damage**\nSuccess: Half damage.\n\n# Actions\n**Claw**\nMelee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4)\nSlashing damage plus 2 (1d4) Fire damage.\nSteam Breath (Recharge 6). Constitution Saving Throw:\nDC 10, each creature in a 15-foot Cone. Failure: 5 (2d4)\nFire damage, and the target’s Speed decreases by 10\n\n**feet until the end of the mephit’s next turn**\nSuccess:\n\n**Half damage only**\nFailure or Success: Being underwater	
Magmin	Small	Elemental		Chaotic Neutral	14	2	13	3d6 + 3	30	0	7	-2	15	2	12	1	8	-1	11	0	10	0		Fire	10	60	Primordial (Ignan)	1/2	# Traits\n**Death Burst**\nThe magmin explodes when it dies. Dex-\nterity Saving Throw: DC 11, each creature in a 10-foot\n\n**Emanation originating from the magmin**\nFailure : 7 (2d6)\n\n**Fire damage**\nSuccess: Half damage.\n\n# Actions\n**Touch**\nMelee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 +\n2) ire damage. f the target is a creature or a ammable\nobject that isn’t being worn or carried, it starts burning. Bonus Actions\n\n**Ignited Illumination**\nThe magmin sets itself ablaze\n\n**or etinguishes its ames**\nhile ablae, the magmin\nsheds Bright Light in a 10-foot radius and Dim Light for	
Manticore	Large	Monstrosity		Lawful Evil	14	3	68	8d10 + 24	30	50	17	3	16	3	17	3	7	-2	12	1	8	-1			11	60	Common	3	# Actions\n**Multiattack**\nThe manticore makes three attacks, using\n\n**Rend**\nMelee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3)\n\n**Tail Spike**\nRanged Attack Roll: +5, range 100/200 ft.\nHit: 7 (1d8 + 3) Piercing damage.	
Marilith	Large	Fiend	Demon	Chaotic Evil	16	10	220	21d10 + 105	40	0	18	9	20	5	20	10	18	4	16	8	20	10	Cold, Fire, Lightning	Poison, Poisoned	18	0	Abyssal	16	# Traits\n**Demonic Restoration**\nIf the marilith dies outside the\nAbyss, its body dissolves into ichor, and it gains a new\nbody instantly, reviving with all its Hit Points some-\n\n**Magic Resistance**\nThe marilith has Advantage on sav-\n\n# Actions\n**Multiattack**\nThe marilith makes six Pact Blade attacks\n\n**Pact Blade**\nMelee Attack Roll: +10, reach 5 ft. Hit:\n10 (1d10 + 5) Slashing damage plus 7 (2d6) Ne-\n\n**Constrict**\nStrength Saving Throw: DC 17, one Medium\n\n**or smaller creature the marilith can see within 5 feet**\nFailure: 15 (2d10 + 4) Bludgeoning damage. The target\nhas the Grappled condition (escape DC 14), and it has\n\n# Bonus Actions\nTeleport (Recharge 5–6). The marilith teleports up to\n# Reactions\n**Parry**\nTrigger: The marilith is hit by a melee attack roll\n\n**while holding a weapon**\nResponse: The marilith adds 5\nto its AC against that attack, possibly causing it to miss.	
Medusa	Medium	Monstrosity		Lawful Evil	15	6	127	17d8 + 51	30	0	10	0	17	3	16	3	12	1	13	4	15	2			14	150	Common plus one other language	6	# Actions\n**Multiattack**\nThe medusa makes two Claw attacks\nand one Snake Hair attack, or it makes three Poison\n\n**Claw**\nMelee Attack Roll: +6, reach 5 ft. Hit: 10 (2d6\n+ 3) Slashing damage.\n\n**Snake Hair**\nMelee Attack Roll: +6, reach 5 ft. Hit:\n5 (1d4 + 3) Piercing damage plus 14 (4d6) Poi-\n\n**Poison Ray**\nRanged Attack Roll: +5, range 150 ft. Hit:\n11 (2d8 + 2) Poison damage. Bonus Actions\nPetrifying Gaze (Recharge 5–6). Constitution Saving\nThrow: DC 13, each creature in a 30-foot Cone. If the\nmedusa sees its reection in the one, the medusa\n\n**must make this save**\nFirst Failure: The target has the\nRestrained condition and repeats the save at the end of\nits next turn if it is still Restrained, ending the effect on\n\n**itself on a success**\nSecond Failure: The target has the	
Merfolk Skirmisher	Medium	Elemental		Neutral	11	1	11	2d8 + 2	10	0	10	0	13	1	12	1	11	0	14	2	12	1			12	0	Common, Primordial (Aquan)	1/8	# Traits\n**Amphibious**\nThe merfolk can breathe air and water.\n\n# Actions\n**Ocean Spear**\nMelee or Ranged Attack Roll: +2, reach 5\n\n**ft**\nor range 20/60 ft. Hit: 3 (1d6) Piercing damage plus 2\n(1d4) Cold damage. If the target is a creature, its Speed\n\n**decreases by 10 feet until the end of its next turn**\nHit or\nMiss: The spear magically returns to the merfolk’s hand	
Merrow	Large	Monstrosity		Chaotic Evil	13	2	45	6d10 + 12	10	0	18	4	15	2	15	2	8	-1	10	0	9	-1			10	60	Abyssal, Primordial (Aquan)	2	# Traits\n**Amphibious**\nThe merrow can breathe air and water.\n\n# Actions\n**Multiattack**\nThe merrow makes two attacks, using Bite,\nClaw, or Harpoon in any combination.\n\n**Bite**\nMelee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4)\nPiercing damage, and the target has the Poisoned con-\n\n**Claw**\nMelee Attack Roll: +6, reach 5 ft. Hit: 9 (2d4 + 4)\n\n**Harpoon**\nMelee or Ranged Attack Roll: +6, reach 5 ft.\nor range 20/60 ft. Hit: 11 (2d6 + 4) Piercing damage.\nIf the target is a Large or smaller creature, the merrow	
Mimic	Medium	Monstrosity		Neutral	12	3	58	9d8 + 18	20	0	17	3	12	1	15	2	5	-3	13	1	8	-1		Acid, Prone	11	60	None	2	# Actions\n**Bite**\nMelee Attack Roll: +5 (with Advantage if the target\nis Grappled by the mimic), reach 5 ft. Hit: 7 (1d8 + 3)\nPiercing damage—or 12 (2d8 + 3) Piercing damage\nif the target is Grappled by the mimic—plus 4 (1d8)\n\n**Pseudopod**\nMelee Attack Roll: +5, reach 5 ft. Hit: 7\n(1d8 + 3) Bludgeoning damage plus 4 (1d8) Acid dam-\n\n**age**\nIf the target is a Large or smaller creature, it has\nthe Grappled condition (escape DC 13). Ability checks\n\n# Bonus Actions\n**Shape-Shift**\nThe mimic shape-shifts to resemble a Me-\ndium or Small object while retaining its game statistics,\n\n**or it returns to its true blob form**\nAny equipment it is	
Minotaur of Baphomet	Large	Monstrosity		Chaotic Evil	14	0	85	10d10 + 30	40	0	18	4	11	0	16	3	6	-2	16	3	9	-1			17	60	Abyssal	3	# Actions\n**Abyssal Glaive**\nMelee Attack Roll: +6, reach 10 ft.\nHit: 10 (1d12 + 4) Slashing damage plus 10 (3d6) Ne-\n\n**crotic damage**\nGore (Recharge 5–6). Melee Attack Roll: +6, reach\n\n**5 ft**\nHit: 18 (4d6 + 4) Piercing damage. If the target is a\nLarge or smaller creature and the minotaur moved 10+\nfeet straight toward it immediately before the hit, the\ntarget takes an extra 10 (3d6) Piercing damage and has	
Minotaur Skeleton	Large	Undead		Lawful Evil	12	0	45	6d10 + 12	40	0	18	4	11	0	15	2	6	-2	8	-1	5	-3		Poison, Exhaustion, Poisoned	9	60	Understands Abyssal but can’t speak	2	# Actions\n**Gore**\nMelee Attack Roll: +6, reach 5 ft. Hit: 11 (2d6\n+ 4) Piercing damage. If the target is a Large or smaller\ncreature and the skeleton moved 20+ feet straight\ntoward it immediately before the hit, the target takes\nan extra 9 (2d8) Piercing damage and has the Prone\n\n**Slam**\nMelee Attack Roll: +6, reach 5 ft. Hit: 15 (2d10\n+ 4) Bludgeoning damage.	
Mummy	Medium, Small	Undead		Lawful Evil	11	1	58	9d8 + 18	20	0	16	3	8	-1	15	2	6	-2	12	3	12	1		Necrotic, Poison, Charmed, Exhaustion, Frightened, Paralyzed, Poisoned	11	60	Common plus two other languages	3	# Actions\n**Multiattack**\nThe mummy makes two Rotting Fist at-\n\n**Rotting Fist**\nMelee Attack Roll: +5, reach 5 ft. Hit: 8\n(1d10 + 3) Bludgeoning damage plus 10 (3d6) Necrotic\n\n**damage**\nIf the target is a creature, it is cursed. While\ncursed, the target can’t regain Hit Points, its Hit Point\nmaimum doesnt return to normal hen finishing a\nLong Rest, and its Hit Point maximum decreases by 10\n(3d6) every 24 hours that elapse. A creature dies and\n\n**Dreadful Glare**\nWisdom Saving Throw: DC 11, one\n\n**creature the mummy can see within 60 feet**\nFailure:\nThe target has the Frightened condition until the end of\n\n**the mummy’s next turn**\nSuccess: The target is immune	
Mummy Lord	Medium, Small	Undead	Cleric	Lawful Evil	17	10	187	25d8 + 75	30	0	18	4	10	0	17	3	11	5	19	9	16	3		Necrotic, Poison, Charmed, Exhaustion, Frightened, Paralyzed, Poisoned	19	0	Common plus three other languages	15	# Actions\n**Multiattack**\nThe mummy makes one Rotting Fist\nor Channel Negative Energy attack, and it uses\n\n**Rotting Fist**\nMelee Attack Roll: +9, reach 5 ft. Hit: 15\n(2d10 + 4) Bludgeoning damage plus 10 (3d6) Necrotic\n\n**damage**\nIf the target is a creature, it is cursed. While\ncursed, the target can’t regain Hit Points, it gains no\nbenefit from finishing a Long est, and its Hit Point\nmaximum decreases by 10 (3d6) every 24 hours that\n\n**elapse**\nA creature dies and turns to dust if reduced to 0\n\n**Channel Negative Energy**\nRanged Attack Roll: +9,\n\n**range 60 ft**\nHit: 25 (6d6 + 4) Necrotic damage.\n\n**Dreadful Glare**\nWisdom Saving Throw: DC 17, one\n\n**creature the mummy can see within 60 feet**\nFailure: 25\n(6d6 + 4) Psychic damage, and the target has the Para-\n\n**Spellcasting**\nThe mummy casts one of the following\nspells, requiring no Material components and using\nWisdom as the spellcasting ability (spell save DC 17, +9\nto hit with spell attacks):\nAt Will: Dispel Magic , Thaumaturgy\n1/Day Each: Animate Dead , Harm , Insect Plague (level\n7 version)\n\n# Reactions\n**Whirlwind of Sand**\nTrigger: The mummy is hit by an\n\n**attack roll**\nResponse: The mummy adds 2 to its AC\nagainst the attack, possibly causing the attack to miss,\nand the mummy teleports up to 60 feet to an unoccu-\n\n**pied space it can see**\nEach creature of its choice that\nit can see within 5 feet of its destination space has\nthe Blinded condition until the end of the mummy’s\n\n# Legendary Actions	
Nalfeshnee	Large	Fiend	Demon	Chaotic Evil	18	5	184	16d10 + 96	20	30	21	5	10	0	22	11	19	9	12	6	15	7	Cold, Fire, Lightning	Poison, Frightened, Poisoned	11	0	Abyssal	13	# Traits\n**Demonic Restoration**\nIf the nalfeshnee dies outside the\nAbyss, its body dissolves into ichor, and it gains a new\nbody instantly, reviving with all its Hit Points some-\n\n**Magic Resistance**\nThe nalfeshnee has Advantage on\n\n# Actions\n**Multiattack**\nThe nalfeshnee makes three Rend attacks.\n\n**Rend**\nMelee Attack Roll: +10, reach 10 ft. Hit: 16 (2d10\n+ 5) Slashing damage plus 11 (2d10) Force damage.\n\n**Teleport**\nThe nalfeshnee teleports up to 120 feet to an\n\n# Bonus Actions\nHorror Nimbus (Recharge 5–6). Wisdom Saving\nThrow: DC 15, each creature in a 15-foot Emanation\n**originating from the nalfeshnee**\nFailure: 28 (8d6) Psy-\nchic damage, and the target has the Frightened condi-\ntion for 1 minute, until it takes damage, or until it ends\n\n**its turn with the nalfeshnee out of line of sight**\nSuccess: The target is immune to this nalfeshnee’s Horror Nim-\n\n# Reactions\n**Pursuit**\nTrigger: Another creature the nalfeshnee can\n\n**see ends its move within 120 feet of the nalfeshnee**\nResponse: The nalfeshnee uses Teleport, but its des-\ntination space must be within 10 feet of the trigger-	
Night Hag	Medium	Fiend		Neutral Evil	17	5	112	15d8 + 45	30	0	18	4	15	2	16	3	16	3	14	2	16	3	Cold, Fire	Charmed	15	120	Abyssal, Common, Infernal, Primordial	5	# Traits\n**Coven Magic**\nWhile within 30 feet of at least two hag\nallies, the hag can cast one of the following spells,\nrequiring no Material components, using the spell’s\nnormal casting time, and using Intelligence as the spell-\ncasting ability (spell save DC 14): Augury , Find Familiar ,\nIdentify , Locate Object , Scrying , or Unseen Servant .\nThe hag must finish a Long est before using this trait to\n\n**Magic Resistance**\nThe hag has Advantage on saving\n\n**Soul Bag**\nThe hag has a soul bag. While holding or\ncarrying the bag, the hag can use its Nightmare Haunt-\n\n**ing action**\nThe bag has AC 15, HP 20, and Resistance to all dam-\n\n**age**\nThe bag turns to dust if reduced to 0 Hit Points. If\nthe bag is destroyed, any souls the bag is holding are\n\n**released**\nThe hag can create a new bag after 7 days.\n\n# Actions\n**Multiattack**\nThe hag makes two Claw attacks.\n\n**Claw**\nMelee Attack Roll: +7, reach 5 ft. Hit: 13 (2d8\n+ 4) Slashing damage.\nNightmare Haunting (1/Day; Requires Soul Bag).\nWhile on the Ethereal Plane, the hag casts Dream , us-\n\n**ing the same spellcasting ability as Spellcasting**\nOnly\nthe hag can serve as the spell’s messenger, and the tar-\n\n# Bonus Actions\n**Shape-Shift**\nThe hag shape-shifts into a Small or Me-\ndium Humanoid, or it returns to its true form. Other\nthan its size, its game statistics are the same in each\n\n**form**\nAny equipment it is wearing or carrying isn’t	
Nightmare	Large	Fiend		Neutral Evil	13	2	68	8d10 + 24	60	90	18	4	15	2	16	3	10	0	13	1	15	2		Fire	11	0	Understands Abyssal, Common, and Infernal	3	# Traits\n**Confer Fire Resistance**\nThe nightmare can grant Re-\nsistance to Fire damage to a rider while it is on the\n\n**Illumination**\nThe nightmare sheds Bright Light in a 10-\n\n# Actions\n**Hooves**\nMelee Attack Roll: +6, reach 5 ft. Hit: 13 (2d8\n+ 4) Bludgeoning damage plus 10 (3d6) Fire damage.\n\n**Ethereal Stride**\nThe nightmare and up to three willing\ncreatures within 5 feet of it teleport to the Ethereal\n\n**Plane from the Material Plane or vice versa**\nNoble	
Noble	Medium, Small	Humanoid		Neutral	15	1	9	2d8	30	0	11	0	12	1	11	0	12	1	14	2	16	3			12	0	Common plus two other languages	1/8	# Actions\n**Rapier**\nMelee Attack Roll: +3, reach 5 ft. Hit: 5 (1d8\n+ 1) Piercing damage.\n\n# Reactions\n**Parry**\nTrigger: The noble is hit by a melee attack roll\n\n**while holding a weapon**\nResponse: The noble adds 2\nto its AC against that attack, possibly causing it to miss.	
